Image Source,Product Description,Sku  Code,Size Code,Size Description,UI,Printed Substrate Length,Printed Substrate Width,Printed Substrate    Sq Ft,Image Sq In,Image Sq Ft,Ratio,Decimal Ratio,Size,Length,Width,Product Description,Sku Code,Rolled Canvas White Border - Estimated Cost,Rolled Canvas White Border -  Estimated Retail,Rolled Canvas White Border - UI Retail,Rolled Canvas White Border -  TAR UI Cost,,Product Description,Sku Code,Size Code,"Rolled Canvas with 2"" Black Border - UI","Rolled Canvas 2"" Black Border - Estimated Cost","Rolled Canvas 2"" Black Border - Estimated Retail","Rolled Canvas 2"" Black Border - UI Retail","Rolled Canvas 2"" Black Border - TAR UI Cost",,Product Description,Sku Code,Size Code,"Rolled Canvas with 2"" Mirrored Border - UI","Rolled Canvas 2"" Mirror Border - Estimated Cost","Rolled Canvas 2"" Mirror Border -  Estimated Retail","Rolled Canvas 2"" Mirror - UI Retail","Rolled Canvas 2"" Mirror - TAR UI Cost",,
San Diego,Giclee Print on Canvas,CV,M,Medium,52,16,50,5.56,415,2.88,,0.24,10 x 41.5,10,41.5,"Canvas Giclee Print with 3"" White Border",WH,32.60,$108.68,$2.09,$0.627,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,M,56,35.11,$117.04,$2.09,$0.627,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,M,56,41.40,$137.98,$2.46,$0.739,,
San Diego,Giclee Print on Canvas,CV,L,Large,57,17,60,7.08,506,3.51,,0.24,11 x 46,11,46,"Canvas Giclee Print with 3"" White Border",WH,39.50,$131.67,$2.31,$0.693,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,L,61,42.27,$140.91,$2.31,$0.693,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,L,61,49.52,$165.07,$2.71,$0.812,,
San Diego,Giclee Print on Canvas,CV,O,Oversize,65,19,60,7.92,650,4.51,,0.24,12.5 x 52,12.5,52,"Canvas Giclee Print with 3"" White Border",WH,51.48,$171.60,$2.64,$0.792,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,O,69,54.65,$182.16,$2.64,$0.792,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,O,69,62.39,$207.97,$3.01,$0.904,,
San Diego,Giclee Print on Canvas,CV,C,Custom,,,,,,,,0.24,17 x 71,17,71,"Canvas Giclee Print with 3"" White Border",WH,,,$2.86,$0.858,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,C,,,,$2.86,$0.858,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,C,,,,$3.26,$0.977,,
San Diego,Giclee Print on Canvas,CV,S,Small,40,14,42,4.08,256,1.78,1:4,0.25,8 x 32,8,32,"Canvas Giclee Print with 3"" White Border",WH,26.40,$88.00,$2.20,$0.660,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,S,44,29.04,$96.80,$2.20,$0.660,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,S,44,34.12,$113.74,$2.59,$0.776,,
San Diego,Giclee Print on Canvas,CV,M,Medium,50,16,50,5.56,400,2.78,1:4,0.25,10 x 40,10,40,"Canvas Giclee Print with 3"" White Border",WH,31.35,$104.50,$2.09,$0.627,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,M,54,33.86,$112.86,$2.09,$0.627,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,M,54,39.92,$133.06,$2.46,$0.739,,
San Diego,Giclee Print on Canvas,CV,L,Large,60,18,60,7.50,576,4.00,1:4,0.25,12 x 48,12,48,"Canvas Giclee Print with 3"" White Border",WH,41.58,$138.60,$2.31,$0.693,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,L,64,44.35,$147.84,$2.31,$0.693,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,L,64,51.96,$173.18,$2.71,$0.812,,
San Diego,Giclee Print on Canvas,CV,O,Oversize,70,24,62,10.33,784,5.44,1:4,0.25,14 x 56,14,56,"Canvas Giclee Print with 3"" White Border",WH,55.44,$184.80,$2.64,$0.792,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,O,74,58.61,$195.36,$2.64,$0.792,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,O,74,66.91,$223.04,$3.01,$0.904,,
San Diego,Giclee Print on Canvas,CV,C,Custom,,,,,,,1:4,0.25,18 x 72,18,72,"Canvas Giclee Print with 3"" White Border",WH,,,$2.86,$0.858,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,C,,,,$2.86,$0.858,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,C,,,,$3.26,$0.977,,
San Diego,Giclee Print on Canvas,CV,S,Small,38,14,36,3.50,240,1.67,,0.27,8 x 30,8,30,"Canvas Giclee Print with 3"" White Border",WH,25.08,$83.60,$2.20,$0.660,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,S,42,27.72,$92.40,$2.20,$0.660,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,S,42,32.57,$108.57,$2.59,$0.776,,
San Diego,Giclee Print on Canvas,CV,M,Medium,48,16,50,5.56,375,2.60,,0.27,10 x 37.5,10,37.5,"Canvas Giclee Print with 3"" White Border",WH,30.10,$100.32,$2.09,$0.627,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,M,52,32.60,$108.68,$2.09,$0.627,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,M,52,38.44,$128.13,$2.46,$0.739,,
San Diego,Giclee Print on Canvas,CV,L,Large,57,18,60,7.50,540,3.75,,0.27,12 x 45,12,45,"Canvas Giclee Print with 3"" White Border",WH,39.50,$131.67,$2.31,$0.693,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,L,61,42.27,$140.91,$2.31,$0.693,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,L,61,49.52,$165.07,$2.71,$0.812,,
San Diego,Giclee Print on Canvas,CV,O,Oversize,71,21,60,8.75,840,5.83,,0.27,15 x 56,15,56,"Canvas Giclee Print with 3"" White Border",WH,56.23,$187.44,$2.64,$0.792,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,O,75,59.40,$198.00,$2.64,$0.792,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,O,75,67.82,$226.05,$3.01,$0.904,,
San Diego,Giclee Print on Canvas,CV,C,Custom,,,,,,,,0.27,20 x 75,20,75,"Canvas Giclee Print with 3"" White Border",WH,,,$2.86,$0.858,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,C,,,,$2.86,$0.858,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,C,,,,$3.26,$0.977,,
San Diego,Giclee Print on Canvas,CV,S,Small,39,15,36,3.75,255,1.77,,0.28,8.5 x 30,8.5,30,"Canvas Giclee Print with 3"" White Border",WH,25.74,$85.80,$2.20,$0.660,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,S,43,28.38,$94.60,$2.20,$0.660,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,S,43,33.35,$111.16,$2.59,$0.776,,
San Diego,Giclee Print on Canvas,CV,M,Medium,50,17,50,5.90,429,2.98,,0.28,11 x 39,11,39,"Canvas Giclee Print with 3"" White Border",WH,31.35,$104.50,$2.09,$0.627,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,M,54,33.86,$112.86,$2.09,$0.627,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,M,54,39.92,$133.06,$2.46,$0.739,,
San Diego,Giclee Print on Canvas,CV,L,Large,58,19,60,7.92,574,3.98,,0.28,12.75 x 45,12.75,45,"Canvas Giclee Print with 3"" White Border",WH,40.19,$133.98,$2.31,$0.693,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,L,62,42.97,$143.22,$2.31,$0.693,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,L,62,50.33,$167.77,$2.71,$0.812,,
San Diego,Giclee Print on Canvas,CV,O,Oversize,67,21,60,8.75,767,5.33,,0.28,14.75 x 52,14.75,52,"Canvas Giclee Print with 3"" White Border",WH,53.06,$176.88,$2.64,$0.792,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,O,71,56.23,$187.44,$2.64,$0.792,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,O,71,64.20,$213.99,$3.01,$0.904,,
San Diego,Giclee Print on Canvas,CV,C,Custom,,,,,,,,0.28,19 x 67,19,67,"Canvas Giclee Print with 3"" White Border",WH,,,$2.86,$0.858,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,C,,,,$2.86,$0.858,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,C,,,,$3.26,$0.977,,
San Diego,Giclee Print on Canvas,CV,S,Small,27,12,36,3.00,123,0.85,2:7,0.29,6 x 20.5,6,20.5,"Canvas Giclee Print with 3"" White Border",WH,17.82,$59.40,$2.20,$0.660,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,S,31,20.46,$68.20,$2.20,$0.660,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,S,31,24.04,$80.14,$2.59,$0.776,,
San Diego,Giclee Print on Canvas,CV,M,Medium,36,14,36,3.50,218,1.51,2:7,0.29,8 x 27.25,8,27.25,"Canvas Giclee Print with 3"" White Border",WH,22.57,$75.24,$2.09,$0.627,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,M,40,25.08,$83.60,$2.09,$0.627,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,M,40,29.57,$98.56,$2.46,$0.739,,
San Diego,Giclee Print on Canvas,CV,L,Large,53,18,50,6.25,492,3.42,2:7,0.29,12 x 41,12,41,"Canvas Giclee Print with 3"" White Border",WH,36.73,$122.43,$2.31,$0.693,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,L,57,39.50,$131.67,$2.31,$0.693,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,L,57,46.27,$154.24,$2.71,$0.812,,
San Diego,Giclee Print on Canvas,CV,O,Oversize,71,24,61,10.17,872,6.06,2:7,0.29,16 x 54.5,16,54.5,"Canvas Giclee Print with 3"" White Border",WH,56.23,$187.44,$2.64,$0.792,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,O,75,59.40,$198.00,$2.64,$0.792,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,O,75,67.82,$226.05,$3.01,$0.904,,
