Image Source,Product Description,Sku Code,Size Code,Size Description,UI,Printed Substrate Length,Printed Substrate Width,Printed Substrate    Sq Ft,Image Sq In,Image Sq Ft,Ratio,Decimal Ratio,Standard Size & Maximum Custom Size,Length,Width,Estimated Cost,Rolled Paper - Estimated Retail,Rolled Paper - UI Retail,Rolled Paper - TAR UI Cost
San Diego,Giclee Print On Paper,PR,O,Oversize,86,31,60,12.92,1660,11.53,,0.51,29 x 57.25,29,57.25,$41.27,$137.57,$1.60,$0.479
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.51,35.5 x 70,35.5,70,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,P,Petite,32,23,24,3.75,226,1.57,,0.52,11 x 20.5,11,20.5,$14.03,$46.78,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,S,Small,52,20,36,5.00,603,4.19,,0.52,18 x 33.5,18,33.5,$22.94,$76.48,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,62,24,42,6.85,860,5.97,,0.52,21.5 x 40,21.5,40,$27.40,$91.33,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,74,28,50,9.64,1236,8.58,,0.52,25.75 x 48,25.75,48,$32.86,$109.52,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,X,Oversize Large,86,32,60,13.33,1680,11.67,,0.52,30 x 56,30,56,$43.99,$146.63,$1.71,$0.512
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.52,38 x 71,38,71,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,P,Petite,31,13,24,2.17,223,1.55,,0.54,11 x 20.25,11,20.25,$13.92,$46.41,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,S,Small,53,20,36,5.00,629,4.37,,0.54,18.5 x 34,18.5,34,$23.39,$77.96,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,62,24,42,6.93,870,6.04,,0.54,21.75 x 40,21.75,40,$27.51,$91.70,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,73,28,50,9.55,1199,8.32,,0.54,25.5 x 47,25.5,47,$32.30,$107.66,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,X,Oversize Large,87,33,60,13.54,1708,11.86,,0.54,30.5 x 56,30.5,56,$44.24,$147.48,$1.71,$0.512
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.54,38 x 70,38,70,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,P,Petite,28,12,24,2.00,180,1.25,,0.55,10 x 18,10,18,$12.47,$41.58,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,S,Small,51,20,36,5.00,585,4.06,,0.55,18 x 32.5,18,32.5,$22.50,$74.99,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,59,23,42,6.71,798,5.54,,0.55,21 x 38,21,38,$26.28,$87.62,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,73,28,50,9.72,1222,8.49,,0.55,26 x 47,26,47,$32.52,$108.41,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,X,Oversize Large,87,33,60,13.75,1736,12.06,,0.55,31 x 56,31,56,$44.50,$148.34,$1.71,$0.512
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.55,38.75 x 70,38.75,70,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,P,Petite,28,12,24,2.00,180,1.25,,0.56,10 x 18,10,18,$12.47,$41.58,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,S,Small,50,20,36,4.94,568,3.94,,0.56,17.75 x 32,17.75,32,$22.16,$73.88,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,59,23,42,6.71,798,5.54,,0.56,21 x 38,21,38,$26.28,$87.62,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,72,28,50,9.55,1173,8.15,,0.56,25.5 x 46,25.5,46,$31.85,$106.18,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,X,Oversize Large,87,33,60,13.75,1736,12.06,,0.56,31 x 56,31,56,$44.50,$148.34,$1.71,$0.512
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.56,40 x 72,40,72,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,P,Petite,29,13,24,2.08,189,1.31,4:7,0.57,10.5 x 18,10.5,18,$12.92,$43.07,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,S,Small,48,20,36,4.88,525,3.65,4:7,0.57,17.5 x 30,17.5,30,$21.38,$71.28,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,57,23,42,6.71,756,5.25,4:7,0.57,21 x 36,21,36,$25.39,$84.65,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,76,30,50,10.42,"1,344",9.33,4:7,0.57,28 x 48,28,48,$36.37,$121.22,$1.60,$0.479
San Diego,Giclee Print On Paper,PR,X,Oversize Large,86,34,60,13.96,"1,701",11.81,4:7,0.57,31.5 x 54,31.5,54,$43.99,$146.63,$1.71,$0.512
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,4:7,0.57,42 x 72,42,72,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,P,Petite,29,13,24,2.08,189,1.31,,0.58,10.5 x 18,10.5,18,$12.70,$42.32,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,S,Small,52,21,36,5.31,635,4.41,,0.58,19.25 x 33,19.25,33,$23.28,$77.59,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,62,25,42,7.22,887,6.16,,0.58,22.75 x 39,22.75,39,$27.51,$91.70,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,76,30,50,10.42,1344,9.33,,0.58,28 x 48,28,48,$33.86,$112.86,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,X,Oversize Large,90,35,60,14.69,1895,13.16,,0.58,33.25 x 57,33.25,57,$46.30,$154.33,$1.71,$0.513
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.58,42 x 72,42,72,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,P,Petite,30,13,24,2.17,204,1.41,,0.59,11 x 18.5,11,18.5,$13.14,$43.81,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,S,Small,51,21,36,5.25,608,4.22,,0.59,19 x 32,19,32,$22.72,$75.74,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,59,24,42,7.00,814,5.65,,0.59,22 x 37,22,37,$26.28,$87.62,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,75,30,50,10.42,1316,9.14,,0.59,28 x 47,28,47,$33.41,$111.38,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,X,Oversize Large,93,37,60,15.21,2001,13.90,,0.59,34.5 x 58,34.5,58,$47.31,$157.71,$1.71,$0.512
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.59,44 x 74,44,74,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,P,Petite,32,14,24,2.33,240,1.67,,0.60,12 x 20,12,20,$14.26,$47.52,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,S,Small,48,20,36,5.00,540,3.75,,0.60,18 x 30,18,30,$21.38,$71.28,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,64,26,42,7.58,960,6.67,,0.60,24 x 40,24,40,$28.51,$95.04,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,72,29,50,10.07,1215,8.44,,0.60,27 x 45,27,45,$32.08,$106.92,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,X,Oversize Large,88,35,60,14.58,1815,12.60,,0.60,33 x 55,33,55,$45.01,$150.04,$1.71,$0.512
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.60,42 x 70,42,70,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,P,Petite,29,13,24,2.17,198,1.38,,0.61,11 x 18,11,18,$12.92,$43.07,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,S,Small,53,22,36,5.50,660,4.58,,0.61,20 x 33,20,33,$23.61,$78.71,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,60,25,42,7.15,833,5.78,,0.61,22.5 x 37,22.5,37,$26.51,$88.36,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,93,30,50,10.42,1288,8.94,,0.61,28 x 46,28,46,$41.21,$137.36,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,X,Oversize Large,119,37,60,15.42,2013,13.98,,0.61,35 x 57.5,35,57.5,$60.87,$202.90,$1.71,$0.512
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.61,45 x 74,45,74,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,P,Petite,31,14,24,2.33,228,1.58,5:8,0.63,12 x 19,12,19,$13.81,$46.04,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,S,Small,55,23,36,5.75,698,4.85,5:8,0.63,21 x 33.25,21,33.25,$24.50,$81.68,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,62,26,42,7.58,912,6.33,5:8,0.63,24 x 38,24,38,$27.62,$92.07,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,79,32,50,11.11,"1,455",10.10,5:8,0.63,30 x 47.5,30,48.5,$35.19,$117.32,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,X,Oversize Large,93,38,60,15.83,"2,052",14.25,5:8,0.63,36 x 57,36,57,$47.57,$158.57,$1.71,$0.512
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,5:8,0.63,48 x 76,48,76,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,P,Petite,36,16,24,2.67,308,2.14,,0.64,14 x 22,14,22,$16.04,$53.46,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,S,Small,54,23,36,5.75,693,4.81,,0.64,21 x 33,21,33,$24.06,$80.19,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,66,28,42,8.02,1020,7.08,,0.64,25.5 x 40,25.5,40,$29.18,$97.27,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,77,32,50,11.11,1410,9.79,,0.64,30 x 47,30,47,$34.30,$114.35,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,X,Oversize Large,90,37,60,15.42,1925,13.37,,0.64,35 x 55,35,55,$46.04,$153.45,$1.71,$0.512
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.64,44.5 x 70,44.5,70,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,P,Petite,28,13,24,2.17,187,1.30,,0.65,11 x 17,11,17,$12.47,$41.58,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,69,33,50,11.46,1008,7.00,,0.65,31 x 48,21,48,$30.74,$102.47,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,S,Small,56,24,36,6.00,748,5.19,,0.65,22 x 34,22,34,$24.95,$83.16,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,64,27,42,7.95,985,6.84,,0.65,25.25 x 39,25.25,39,$28.62,$95.41,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,X,Oversize Large,96,40,60,16.46,2175,15.10,,0.65,37.5 x 58,37.5,58,$48.85,$162.83,$1.71,$0.512
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.65,4.65 x 72,46.5,72,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,P,Petite,28,13,24,2.17,187,1.30,,0.66,11 x 17,11,17,$12.47,$41.58,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,S,Small,51,11,36,2.75,620,4.31,,0.66,20 x 31,20,31,$22.72,$75.74,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,63,27,42,7.73,931,6.47,,0.66,24.5 x 38,24.5,38,$27.84,$92.81,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,79,33,50,11.46,1488,10.33,,0.66,31 x 48,31,48,$35.19,$117.32,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,X,Oversize Large,89,37,60,15.42,1899,13.19,,0.66,35 x 54.25,35,54.25,$45.65,$152.17,$1.71,$0.512
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.66,46.5 x 72,46.5,72,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,P,Petite,35,16,24,2.67,294,2.04,2:3,0.67,14 x 21,14,21,$15.59,$51.98,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,S,Small,50,22,36,5.50,600,4.17,2:3,0.67,20 x 30,20,30,$22.28,$74.25,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,60,26,42,7.58,864,6.00,2:3,0.67,24 x 36,24,36,$26.73,$89.10,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,80,34,50,11.81,1536,10.67,2:3,0.67,32 x 48,32,48,$35.64,$118.80,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,X,Oversize Large,90,38,60,15.83,1944,13.50,2:3,0.67,36 x 54,36,54,$46.04,$153.45,$1.71,$0.512
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,2:3,0.67,52 x 78,52,78,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,P,Petite,29,14,24,2.25,196,1.36,,0.68,11.5 x 17,11.5,17,$12.70,$42.32,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,S,Small,55,24,36,6.00,715,4.97,,0.68,22 x 32.5,22,32.5,$24.28,$80.93,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,67,29,42,8.46,1080,7.50,,0.68,27 x 40,27,40,$29.85,$99.50,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,77,33,50,11.46,1426,9.90,,0.68,31 x 46,31,46,$38.12,$127.05,$1.65,$0.495
San Diego,Giclee Print On Paper,PR,X,Oversize Large,96,41,60,16.88,2195,15.24,,0.68,38.5 x 57,38.5,57,$50.42,$168.08,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.68,48 x 71,48,71,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,P,Petite,37,17,24,2.75,326,2.27,,0.69,15 x 21.75,15,21.75,$16.37,$54.57,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,S,Small,54,24,36,6.00,704,4.89,,0.69,22 x 32,22,32,$24.06,$80.19,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,66,29,42,8.46,1053,7.31,,0.69,27 x 39,27,39,$29.40,$98.01,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,81,35,50,12.15,1584,11.00,,0.69,33 x 48,33,48,$40.10,$133.65,$1.65,$0.495
San Diego,Giclee Print On Paper,PR,X,Oversize Large,98,42,60,17.50,2320,16.11,,0.69,40 x 58,40,58,$51.74,$172.48,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.69,,47.5,69,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,P,Petite,36,17,24,2.83,315,2.19,,0.70,15 x 21,15,21,$16.04,$53.46,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,S,Small,48,22,36,5.50,560,3.89,,0.70,20 x 28,20,28,$21.38,$71.28,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,65,29,42,8.46,1026,7.13,,0.70,27 x 38,27,38,$28.96,$96.53,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,79,35,50,12.15,1526,10.60,,0.70,33 x 46.25,33,46.25,$39.23,$130.76,$1.65,$0.495
San Diego,Giclee Print On Paper,PR,X,Oversize Large,96,42,60,17.50,2240,15.56,,0.70,40 x 56,40,56,$50.69,$168.96,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.70,55 x 77,55,77,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,P,Petite,24,12,24,2.00,140,0.97,5:7,0.71,10 x 14,10,14,$10.69,$35.64,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,S,Small,48,22,36,5.50,560,3.89,5:7,0.71,20 x 28,20,28,$21.38,$71.28,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,60,27,42,7.88,875,6.08,5:7,0.71,25 x 35,25,35,$26.73,$89.10,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,72,32,50,11.11,1260,8.75,5:7,0.71,30 x 42,30,42,$35.64,$118.80,$1.65,$0.495
San Diego,Giclee Print On Paper,PR,X,Oversize Large,96,42,60,17.50,2240,15.56,5:7,0.71,40 x 56,40,56,$50.69,$168.96,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,5:7,0.71,55 x 77,55,77,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,P,Petite,31,15,24,2.50,234,1.63,,0.72,13 x 18,13,18,$13.81,$46.04,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,S,Small,47,22,36,5.50,527,3.66,,0.72,19.5 x 27,19.5,27,$20.72,$69.05,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,59,27,36,6.75,833,5.78,,0.72,24.5 x 34,24.5,34,$26.06,$86.87,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,78,35,50,12.15,1463,10.16,,0.72,32.5 x 45,32.5,45,$38.36,$127.88,$1.65,$0.495
San Diego,Giclee Print On Paper,PR,X,Oversize Large,93,41,60,17.08,2106,14.63,,0.72,39 x 54,39,54,$49.10,$163.68,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,,,52 x 72,52,72,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,P,Petite,33,16,24,2.67,266,1.85,,0.73,14 x 19,14,19,$14.70,$49.01,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,S,Small,52,24,36,6.00,660,4.58,,0.73,22 x 30,22,30,$23.17,$77.22,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,66,28,42,8.17,1064,7.39,,0.73,28 x 38,28,38,$29.40,$98.01,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,83,37,50,12.85,1663,11.55,,0.73,35 x 47.5,35,47.5,$40.84,$136.13,$1.65,$0.495
San Diego,Giclee Print On Paper,PR,X,Oversize Large,99,44,60,18.33,2394,16.63,,0.73,42 x 57,42,57,$52.27,$174.24,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.73,54.5 x 74,54.5,74,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,P,Petite,35,17,24,2.83,304,2.11,,0.74,15 x 20.25,15,20.25,$15.70,$52.35,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,S,Small,54,25,36,6.25,713,4.95,,0.74,23 x 31,23,31,$24.06,$80.19,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,68,31,42,9.04,1131,7.85,,0.74,29 x 39,29,39,$30.29,$100.98,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,O,Oversize,80,36,42,10.50,1564,10.86,,0.74,34 x 46,34,46,$39.60,$132.00,$1.65,$0.495
San Diego,Giclee Print On Paper,PR,X,Oversize Large,101,45,60,18.75,2494,17.32,,0.74,43 x 58,43,58,$53.33,$177.76,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.74,54 x 73,54,73,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,P,Petite,28,14,24,2.33,192,1.33,3:4,0.75,12 x 16,12,16,$12.47,$41.58,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,S,Small,56,26,36,6.50,768,5.33,3:4,0.75,24 x 32,24,32,$24.95,$83.16,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,70,32,42,9.33,1200,8.33,3:4,0.75,30 x 40,30,40,$31.19,$103.95,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,O,Oversize,84,38,50,13.19,1728,12.00,3:4,0.75,36 x 48,36,48,$41.58,$138.60,$1.65,$0.495
San Diego,Giclee Print On Paper,PR,X,Oversize Large,98,44,60,18.33,2352,16.33,3:4,0.75,42 x 56,42,56,$51.74,$172.48,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,3:4,0.75,54 x 72,54,72,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,P,Petite,37,19,24,3.17,336,2.33,,0.76,16 x 21,16,21,$16.48,$54.95,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,S,Small,60,28,36,7.00,884,6.14,,0.76,26 x 34,26,34,$26.73,$89.10,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,67,31,42,9.04,1102,7.65,,0.76,29 x 38,29,38,$29.85,$99.50,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,O,Oversize,83,38,50,13.19,1692,11.75,,0.76,36 x 47,36,47,$41.09,$136.95,$1.65,$0.495
San Diego,Giclee Print On Paper,PR,X,Oversize Large,97,44,60,18.33,2310,16.04,,0.76,42 x 55,42,55,$51.22,$170.72,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.76,55 x 72,55,72,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,P,Petite,35,17,24,2.83,293,2.03,,0.77,15 x 19.5,15,19.5,$15.37,$51.23,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,S,Small,58,27,36,6.75,813,5.64,,0.77,25 x 32.5,25,32.5,$25.62,$85.39,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,69,32,42,9.33,1170,8.13,,0.77,30 x 39,30,39,$30.74,$102.47,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,O,Oversize,81,37,50,12.85,1593,11.06,,0.77,35 x 45.5,35,45.5,$39.85,$132.83,$1.65,$0.495
San Diego,Giclee Print On Paper,PR,X,Oversize Large,96,44,60,18.13,2241,15.56,,0.77,41.5 x 54,41.5,54,$50.42,$168.08,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.77,57 x 74,57,74,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,P,Petite,39,19,24,3.17,370,2.57,,0.78,17 x 21.75,17,21.75,$17.26,$57.54,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,S,Small,57,27,36,6.75,800,5.56,,0.78,25 x 32,25,32,$25.39,$84.65,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,70,33,42,9.48,1190,8.26,,0.78,30.5 x 39,30.5,39,$30.96,$103.21,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,O,Oversize,82,38,50,13.19,1656,11.50,,0.78,36 x 46,36,46,$40.59,$135.30,$1.65,$0.495
San Diego,Giclee Print On Paper,PR,X,Oversize Large,98,45,60,18.75,2365,16.42,,0.78,43 x 55,43,55,$51.74,$172.48,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.78,55.5 x 71,55.5,71,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,P,Petite,25,13,24,2.17,154,1.07,5.5:7,0.79,11 x 14,11,14,$11.14,$37.13,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,50,24,36,6.00,616,4.28,5.5:7,0.79,22 x 28,22,28,$22.28,$74.25,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,71,33,42,9.63,1225,8.50,5:5.7,0.79,31 x 39.5,31,39.5,$31.41,$104.69,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,O,Oversize,84,39,50,13.54,1739,12.08,5:5.7,0.79,37 x 47,37,47,$41.58,$138.60,$1.65,$0.495
San Diego,Giclee Print On Paper,PR,X,Oversize Large,100,46,60,19.17,2464,17.11,5:5.7,0.79,44 x 56,44,56,$52.80,$176.00,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,5:5.7,0.79,55 x 70,55,70,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,P,Petite,36,18,24,3.00,320,2.22,4:5,0.80,16 x 20,16,20,$16.04,$53.46,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,S,Small,54,26,36,6.50,320,5.00,4:5,0.80,24 x 30,24,30,$24.06,$80.19,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,72,34,42,9.92,720,8.89,4:5,0.80,32 x 40,32,40,$32.08,$106.92,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,O,Oversize,81,38,50,13.19,"1,280",11.25,4:5,0.80,36 x 45,36,45,$40.10,$133.65,$1.65,$0.495
San Diego,Giclee Print On Paper,PR,X,Oversize Large,99,46,60,19.17,"1,620",16.81,4:5,0.80,44 x 55,44,55,$52.27,$174.24,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,4:5,0.80,56 x 70,56,70,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,P,Petite,36,18,24,3.00,325,2.26,,0.81,16.25 x 20,16.25,20,$16.15,$53.83,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,S,Small,58,28,36,7.00,832,5.78,,0.81,26 x 32,26,32,$25.84,$86.13,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,73,35,42,10.06,1300,9.03,,0.81,32.5 x 40,32.5,40,$32.30,$107.66,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,O,Oversize,87,41,50,14.24,1872,13.00,,0.81,39 x 48,39,48,$43.07,$143.55,$1.65,$0.495
San Diego,Giclee Print On Paper,PR,X,Oversize Large,102,48,60,19.79,2548,17.69,,0.81,45.5 x 56,45.5,56,$53.59,$178.64,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.81,56 x 69,56,69,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,P,Petite,37,19,24,3.08,330,2.29,,0.82,16.5 x 20,16.5,20,$16.26,$54.20,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,S,Small,59,29,36,7.13,848,5.89,,0.82,26.5 x 32,26.5,32,$26.06,$86.87,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,73,35,42,10.21,1320,9.17,,0.82,33 x 40,33,40,$32.52,$108.41,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,O,Oversize,84,40,50,13.89,1748,12.14,,0.82,38 x 46,38,46,$41.58,$138.60,$1.65,$0.495
San Diego,Giclee Print On Paper,PR,X,Oversize Large,102,48,60,20.10,2590,17.99,,0.82,46.25 x 56,46.25,56,$53.99,$179.96,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.82,57 x 69,57,69,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,P,Petite,33,17,24,2.83,270,1.88,5:6,0.83,15 x 18,15,18,$14.70,$49.01,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,S,Small,55,27,36,6.75,750,5.21,5:6,0.83,25 x 30,25,30,$24.50,$81.68,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,66,32,42,9.33,1080,7.50,5:6,0.83,30 x 36,30,36,$29.40,$98.01,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,O,Oversize,88,42,50,14.58,1920,13.33,5:6,0.83,40 x 48,40,48,$43.56,$145.20,$1.65,$0.495
San Diego,Giclee Print On Paper,PR,X,Oversize Large,99,47,60,19.58,2430,16.88,5:6,0.83,45 x 54,45,54,$52.27,$174.24,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,5:6,0.83,56 x 70,56,70,,,$1.76,$0.528
