Image Source,Product Description,Sku Code,Size Code,Size Description,UI,Printed Substrate Length,Printed Substrate Width,Printed Substrate    Sq Ft,Image Sq In,Image Sq Ft,Ratio,Decimal Ratio,Standard Size & Maximum Custom Size,Length,Width,Estimated Cost,Rolled Paper - Estimated Retail,Rolled Paper - UI Retail,Rolled Paper - TAR UI Cost
San Diego,Giclee Print On Paper,PR,L,Large,60,14,50,4.86,576,4.00,1:4,0.25,12 x 48,12,48,$26.73,$89.10,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,O,Oversize,70,16,60,6.67,784,5.44,1:4,0.25,14 x 56,14,56,$33.50,$111.65,$1.60,$0.479
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,1:4,0.25,20 x 80 ,24,96,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,S,Small,38,10,36,2.50,240,1.67,,0.27,8 x 30,8,30,$16.93,$56.43,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,48,12,42,3.50,375,2.60,,0.27,10 x 37.5,10,37.5,$21.16,$70.54,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,57,14,50,4.86,540,3.75,,0.27,12 x 45,12,45,$25.39,$84.65,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,O,Oversize,71,17,60,7.08,840,5.83,,0.27,15 x 56,15,56,$33.97,$113.25,$1.60,$0.479
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.27,20 x 75,20,75,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,S,Small,39,11,36,2.63,255,1.77,,0.28,8.5 x 30,8.5,30,$17.15,$57.17,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,50,13,42,3.79,429,2.98,,0.28,11 x 39,11,39,$22.28,$74.25,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,58,15,50,5.12,574,3.98,,0.28,12.75 x 45,12.75,45,$25.73,$85.76,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,O,Oversize,67,17,60,6.98,767,5.33,,0.28,14.75 x 52,14.75,52,$31.94,$106.47,$1.60,$0.479
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.28,19 x 67,19,67,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,S,Small,27,8,24,1.33,123,0.85,2:7,0.29,6 x 20.5,6,20.5,$12.03,$40.10,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,36,10,36,2.50,218,1.51,2:7,0.29,8 x 27.25,8,27.25,$16.04,$53.46,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,53,14,50,4.86,492,3.42,2:7,0.29,12 x 41,12,41,$23.61,$78.71,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,O,Oversize,71,18,60,7.50,872,6.06,2:7,0.29,16 x 54.5,16,54.5,$33.97,$113.25,$1.60,$0.479
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,2:7,0.29,22 x 75,22,75,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,S,Small,29,9,24,1.42,143,0.99,,0.30,6.5 x 22,6.5,22,$12.70,$42.32,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,42,12,36,2.88,304,2.11,,0.30,9.5 x 32,9.5,32,$18.49,$61.63,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,62,16,50,5.64,684,4.75,,0.30,14.25 x 48,14.25,48,$27.73,$92.44,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,O,Oversize,70,18,60,7.50,864,6.00,,0.30,16 x 54,16,54,$33.50,$111.65,$1.60,$0.479
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.30,19 x 64,19,64,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,S,Small,42,12,36,3.00,320,2.22,,0.31,10 X 32,10,32,$18.71,$62.37,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,53,15,42,4.23,500,3.47,,0.31,12.5 X 40,12.5,40,$23.39,$77.96,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,63,17,50,5.90,720,5.00,,0.31,15 X 48,15,48,$28.07,$93.56,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,O,Oversize,74,20,60,8.13,980,6.81,,0.31,17.5 x 56,17.5,56,$35.17,$117.23,$1.60,$0.479
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.31,22.5 x 72,22.5,72,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,S,Small,41,12,36,3.00,310,2.15,,0.32,10 x 31,10,31,$18.27,$60.89,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,53,15,42,4.38,520,3.61,,0.32,13 x 40,13,40,$23.61,$78.71,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,64,18,50,6.08,744,5.17,,0.32,15.5 x 48,15.5,48,$28.29,$94.30,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,O,Oversize,73,20,60,8.23,976,6.78,,0.32,17.75 x 55,17.75,55,$34.81,$116.04,$1.60,$0.479
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.32,23 x 71,23,71,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,S,Small,40,12,36,3.00,300,2.08,1:3,0.33,10 x 30,10,30,$17.82,$59.40,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,48,14,42,4.08,432,3.00,1:3,0.33,12 x 36,12,36,$21.38,$71.28,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,64,18,50,6.25,768,5.33,1:3,0.33,16 x 48,16,48,$28.51,$95.04,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,O,Oversize,72,24,62,10.33,972,6.75,1:3,0.33,18 x 54,18,54,$34.45,$114.84,$1.60,$0.479
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,1:3,0.33,24 x 72,24,72,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,S,Small,43,13,36,3.25,352,2.44,,0.34,11 x 32,11,32,$19.16,$63.86,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,54,16,42,4.59,550,3.82,,0.34,13.75 x 40,13.75,40,$23.95,$79.82,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,65,19,50,6.42,792,5.50,,0.34,16.5 x 48,16.5,48,$28.73,$95.78,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,O,Oversize,75,21,60,8.85,1078,7.49,,0.34,19.25 x 56,19.25,56,$36.01,$120.02,$1.60,$0.479
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.34,23 x 67,23,67,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,S,Small,31,10,36,2.50,184,1.28,4:11.5,0.35,8 x 23,8,23,$13.81,$46.04,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,47,14,42,4.08,414,2.88,4:11.5,0.35,12 x 34.5,12,34.5,$20.94,$69.80,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,62,18,50,6.25,736,5.11,4:11.5,0.35,16 x 46,16,46,$27.62,$92.07,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,O,Oversize,78,22,60,9.17,"1,150",7.99,4:11.5,0.35,20 x 57.5,20,57.5,$37.32,$124.41,$1.60,$0.479
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,4:11.5,0.35,25 x 72,25,72,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,S,Small,38,12,36,3.00,280,1.94,2.5:7,0.36,10 x 28,10,28,$16.93,$56.43,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,36,14,36,3.50,402,2.79,2.5:7,0.36,12 x 33.5,12,33.5,$16.04,$53.46,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,57,17,50,5.90,630,4.38,2.5:7,0.36,15 x 42,15,42,$25.39,$84.65,$1.49,$0.446
